item,itemLabel,startDate,endDate
,J.D Otiende,1964,1964
Q6799700,Mbiyu Koinange,1964,1967
Q6285854,Joseph Nyaga.,1967,1967
,J.G Kiano,1968,1969
,Taita Arap Towett,1973,1979
Q8063982,Zachary Onyonka,1975,1975
Q121708,Moses Mudavadi,1979,1979
,Jonathan Ng’eno.,1980,1985
Q16730551,Joseph Kamotho,1980,1983
Q7176221,Peter Oloo Aringo.,1986,2001
Q1395018,Kalonzo Musyoka,1998,2001
Q5724462,Henry Koskey,1999,2002
Q733817,George Saitoti,2003,2007
Q4705081,Sam Ongeri,2008,2012
Q15993157,Mutula Kilonzo,2012,2013
Q16151791,Jacob Kaimenyi,2013,2015
Q16866738,Fred Matiang’i.,2016,2017
Q4746345,Amina Mohammed,2018,2018
Q46835085,George Magoha,2018,2018
