item,itemLabel,constituency,constituencyLabel,party,partyLabel
Q100146475,William Chepkut,Q47463438,Ainabkoi,Q327591,Independent
Q47493981,Sylvanus Maritim,Q4697387,Ainamoi,Q27963537,Jubilee Party
Q47493985,Cornelly Serem,Q4713420,Aldai,Q27963537,Jubilee Party
"",Samuel Atandi,Q4714387,Alego Usonga,Q1640905,Orange Democratic Movement
Q100146454,John Owino,Q47463477,Awendo,Q1640905,Orange Democratic Movement
Q100146466,Onesmas Ngunjiri,Q55604710,Bahati,Q27963537,Jubilee Party
"",Abdi Omar Shurie,Q55604755,Balambala,Q27963537,Jubilee Party
"",Kulow Maalim Hassan,Q47463413,Banissa,Q42954840,Economic Freedom Party
"",Joshua Chepyegon Kandie,Q4860772,Baringo Central,Q47489396,Maendeleo Chap Chap Party
Q8014046,William Kipkorir,Q4860776,Baringo North,Q27963537,Jubilee Party
Q18217506,Grace Jelagat Kipchoim (2017–18),Q47463444,Baringo South,Q27963537,Jubilee Party
"",Charles Kamuren (2018 -),Q47463444,Baringo South,Q27963537,Jubilee Party
"",Nelson Koech,Q4882701,Belgut,Q27963537,Jubilee Party
Q99364459,Innocent Obiri,Q4934581,Bobasi,Q22666200,Peoples Democratic Party
"",Zadoc Abel Ogutu,Q47463484,Bomachoge Borabu,Q327591,Independent
"",Miruka Ondieki Alfah,Q55605716,Bomachoge Chache,Q6392670,Kenya National Congress
"",Ronald Kiprotich Tonui,Q47463457,Bomet Central,Q27963537,Jubilee Party
"",Beatrice Pauline Cherono Kones,Q47463456,Bomet East,Q27963537,Jubilee Party
"",John Oroo Oyioka,Q4941238,Bonchari,Q22666200,Peoples Democratic Party
"",Gideon Ochanda Ogolla,Q4941430,Bondo,Q1640905,Orange Democratic Movement
"",Ben George Orori Momanyi,Q47463490,Borabu,Q5251223,Wiper Democratic Movement - Kenya
"",Raphael Bitta Sauti Wanjala,Q4984030,Budalangi,Q1640905,Orange Democratic Movement
"",Moses Wekesa Mwambu Mabonga,Q4997372,Bumula,Q327591,Independent
"",Ali Wario,Q4998065,Bura,Q27963537,Jubilee Party
"",Japheth Kiplangat Mutai,Q4998466,Bureti,Q27963537,Jubilee Party
"",Nicholas Scott Tindi Mwale,Q5002502,Butere,Q47489380,Amani National Congress
"",Joseph H. Maero Oyula,Q5003161,Butula,Q1640905,Orange Democratic Movement
"",Mugambi Murwithania Rindikiri,Q24236151,Buuri,Q27963537,Jubilee Party
"",Moses Nguchine Kirima,Q5061241,Central Imenti,Q27963537,Jubilee Party
Q47493923,Omar Mwinyi,Q5071716,Changamwe,Q1640905,Orange Democratic Movement
"",Gideon Kimutai Koske,Q5091695,Chepalungu,Q60776120,Chama Cha Mashinani
"",Joshua Kutuny Serem,Q5091828,Cherangany,Q27963537,Jubilee Party
"",Wilson Kipngetich Kogo,Q47463442,Chesumei,Q27963537,Jubilee Party
"",Patrick Munene Ntwiga,Q47463418,Chuka Igambang'ombe,Q27963537,Jubilee Party
"",Mohamed Dahir Duale,Q47463410,Dadaab,Q1422517,Kenya African National Union
"",Paul Simba Arati,Q17048596,Dagoretti North,Q1640905,Orange Democratic Movement
"",John Kiarie Waweru,Q5208646,Dagoretti South,Q27963537,Jubilee Party
Q16731419,Moses Lessonet,Q5353892,Eldama Ravine,Q27963537,Jubilee Party
Q4680594,Adan Keynan Wehliye,Q47463412,Eldas,Q27963537,Jubilee Party
"",Benjamin Gathiru Mwangi,Q47463496,Embakasi Central,Q27963537,Jubilee Party
Q83801307,Babu Owino,Q47463497,Embakasi East,Q1640905,Orange Democratic Movement
"",James Mwangi Gakuya,Q47463494,Embakasi North,Q27963537,Jubilee Party
"",Julius Musili Mawathe,Q47463492,Embakasi South,Q5251223,Wiper Democratic Movement - Kenya
"",George Theuri,Q47463499,Embakasi West,Q27963537,Jubilee Party
"",Alexander Kimutai Kigen Kosgey,Q17085425,Emgwen,Q27963537,Jubilee Party
