position,title
Q6570927,First Lady
Q5280563,Director of Public Prosecutions
Q111232156,Auditor General
Q111232194,Solicitor General
Q111232074,Deputy Speaker of the National Assembly
Q111232482,Governor of Baringo County
Q111232071,Governor of Bomet County
Q111232499,Governor of Bungoma County
Q111232501,Governor of Busia County
Q111232504,Governor of Elgeyo-Marakwet County
Q111232505,Governor of Embu County
Q111232509,Governor of Garissa County
Q111232512,Governor of Homa Bay County
Q111232513,Governor of Isiolo County
Q111232241,Governor of Kajiado County
Q111232514,Governor of Kakamega County
Q111232516,Governor of Kericho County
Q111189826,Governor of Kiambu County
Q111232517,Governor of Kilifi County
Q111232171,Governor of Kirinyaga County
Q111232518,Governor of Kisii County
Q111232519,Governor of Kisumu County
Q111232522,Governor of Kitui County
Q111232538,Governor of Kwale County
Q111232557,Governor of Laikipia County
Q111232575,Governor of Lamu County
Q111232595,Governor of Machakos County
Q111232618,Governor of Makueni County
Q111232638,Governor of Mandera County
Q111178132,Governor of Marsabit County
Q111232659,Governor of Meru County
Q111232679,Governor of Migori County
Q111232698,Governor of Mombasa County
Q111232718,Governor of Muranga County
Q111177832,Governor of Nairobi County
Q111232730,Governor of Nairobi Province
Q111232732,Governor of Nakuru County
Q111232735,Governor of Nandi County
Q111232736,Governor of Narok County
Q111232738,Governor of Nyamira county
Q111232742,Governor of Nyandarua County
Q111232746,Governor of Nyeri County
Q111232750,Governor of Samburu County
Q111232756,Governor of Siaya County
Q111232764,Governor of Taita–Taveta County
Q111232766,Governor of Tana River County
Q111232769,Governor of Tharaka Nithi County
Q111232772,Governor of Trans-Nzoia county
Q111232775,Governor of Turkana County
Q111232781,Governor of Uasin Gishu County
Q111232787,Governor of Vihiga County
Q111232793,Governor of Wajir County
Q111232798,Governor of West Pokot County
Q111233922,Deputy Governor of Baringo
Q111233924,Deputy Governor of Bomet
Q111233929,Deputy Governor of Bungoma
Q111233930,Deputy Governor of Busia
Q111233931,Deputy Governor of Elgeyo-Marakwet
Q111233932,Deputy Governor of Embu
Q111233933,Deputy Governor of Garissa
Q111233934,Deputy Governor of Homa Bay
Q111233935,Deputy Governor of Isiolo
Q111233936,Deputy Governor of Kajiado
Q111233937,Deputy Governor of Kakamega
Q111233938,Deputy Governor of Kericho
Q111233939,Deputy Governor of Kiambu
Q111233940,Deputy Governor of Kilifi
Q111232174,Deputy Governor of Kirinyaga County
Q111233941,Deputy Governor of Kisii
Q111233942,Deputy Governor of Kisumu
Q111233943,Deputy Governor of Kitui
Q111233944,Deputy Governor of Kwale
Q111233945,Deputy Governor of Laikipia
Q111233946,Deputy Governor of Lamu
Q111233947,Deputy Governor of Machakos
Q111233949,Deputy Governor of Makueni
Q111233950,Deputy Governor of Mandera
Q111233951,Deputy Governor of Marsabit
Q111233952,Deputy Governor of Meru
Q111233953,Deputy Governor of Migori
Q111233954,Deputy Governor of Mombasa
Q111233956,Deputy Governor of Murang
Q111177834,Deputy Governor of Nairobi County
Q111233957,Deputy Governor of Nakuru
Q111233958,Deputy Governor of Nandi
Q111233959,Deputy Governor of Narok
Q111233960,Deputy Governor of Nyamira
Q111233961,Deputy Governor of Nyandarua
Q111233962,Deputy Governor of Nyeri
Q111233963,Deputy Governor of Samburu
Q111233964,Deputy Governor of Siaya
Q111233965,Deputy Governor of Taita-Taveta
Q111233966,Deputy Governor of Tana River
Q111233967,Deputy Governor of Tharaka
Q111233968,Deputy Governor of Trans-Nzoia
Q111233969,Deputy Governor of Turkana
Q111233970,Deputy Governor of Uasin Gishu
Q111233971,Deputy Governor of Vihiga
Q111233972,Deputy Governor of Wajir
Q111233973,Deputy Governor of West Pokot
Q106462908,ambassador to Angola
Q111231831,ambassador to Australia
Q111232177,ambassador to Belgium
Q111235386,ambassador to Brazil
Q111235394,ambassador to Burundi
Q111235261,ambassador to Canada
Q30591553,ambassador to China
Q111235281,ambassador to Ethiopia
Q30591727,ambassador to France
Q110117325,ambassador to Germany
Q90825101,ambassador to the Holy See
Q111235285,ambassador to Japan
Q111191235,ambassador to Nigeria
Q90829554,ambassador to Russia
Q106314572,ambassador to Rwanda
Q106462930,ambassador to Somalia
Q111235275,ambassador to South Africa
Q111235317,ambassador to South Sudan
Q111235422,ambassador to Sudan
Q111235267,ambassador to Thailand
Q111431393,ambassador to the United Arab Emirates
Q30591579,ambassador to the United States of America
Q111235414,ambassador to Zimbabwe
Q111235240,Permament Representative to the United Nations
Q38243929,ambassador of Kenya
